gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0022400408,588,PT03M27.00S,4,1610612744,GSW,203471,Schröder,D. Schröder,0,0,0,,0,,,0,h,Schroder S.FOUL (P3.T3) (S.Foster),Foul,Shooting,1,0,420
0022400408,590,PT03M27.00S,4,1610612747,LAL,1631108,Christie,M. Christie,0,0,0,,0,94,103,197,v,Christie Free Throw 1 of 2 (11 PTS),Free Throw,Free Throw 1 of 2,1,0,421
0022400408,591,PT03M27.00S,4,1610612747,LAL,1631108,Christie,M. Christie,0,0,0,,0,94,104,198,v,Christie Free Throw 2 of 2 (12 PTS),Free Throw,Free Throw 2 of 2,1,0,422
0022400408,592,PT03M16.00S,4,1610612744,GSW,201939,Curry,S. Curry,53,52,7,Made,1,96,104,200,h,Curry 7' Driving Finger Roll Layup (27 PTS),Made Shot,Driving Finger Roll Layup Shot,1,2,423
0022400408,593,PT02M58.00S,4,1610612747,LAL,1630559,Reaves,A. Reaves,0,0,0,,0,,,0,v,Reaves Lost Ball Turnover (P3.T9),Turnover,Lost Ball,1,0,424
0022400408,593,PT02M58.00S,4,1610612744,GSW,203471,Schröder,D. Schröder,0,0,0,,0,,,0,h,Schroder STEAL (1 STL),,,1,0,425
0022400408,595,PT02M54.00S,4,1610612744,GSW,201939,Curry,S. Curry,-199,163,26,Missed,1,,,0,h,MISS Curry 26' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,1,3,426
0022400408,596,PT02M50.00S,4,1610612744,GSW,203952,Wiggins,A. Wiggins,0,0,0,,0,,,0,h,Wiggins REBOUND (Off:5 Def:5),Rebound,Unknown,1,0,427
0022400408,597,PT02M49.00S,4,1610612744,GSW,201939,Curry,S. Curry,-116,222,25,Made,1,99,104,203,h,Curry 25' 3PT Pullup Jump Shot (30 PTS) (Schroder 5 AST),Made Shot,Pullup Jump shot,1,3,428
0022400408,599,PT02M28.00S,4,1610612747,LAL,2544,James,L. James,-1,277,28,Made,1,99,107,206,v,L. James 28' 3PT Jump Shot (31 PTS) (Reaves 10 AST),Made Shot,Jump Shot,1,3,429
